ID;Tên sản phẩm;Tên tiếng Anh;Hình ảnh;Mã sản phẩm;Mã vạch;Đơn vị tính;Thuế bán hàng;Giá vốn;Giá bán;Trạng thái;Mô tả;Mô tả (ENG);Danh mục sản phẩm;Loại sản phẩm
c2a9c300-fab2-405c-b0aa-ff21b16b4fbb;KEN BẠC LON 330ML;;;;;Lon;Không chịu thuế GTGT bán hàng;0.000000;27000.000000;1;;;BIA RƯỢU;Lưu kho
ddae6483-e009-47bb-b781-cf2f900fa25f;KEN HÀ LAN;;;;;Chai;Không chịu thuế GTGT bán hàng;0.000000;31500.000000;1;;;BIA RƯỢU;Lưu kho
4cc1e723-cde3-46ef-9c5e-975f89e4bcb7;KHĂN LẠNH;;;;;Cái;Không chịu thuế GTGT bán hàng;0.000000;2000.000000;1;;;KHAI VỊ;Lưu kho
a35c05ba-fd1b-47d2-8234-aa543c8b9620;KHOAI TÂY CHIÊN;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;55000.000000;1;;;THỰC ĐƠN CƠM;Lưu kho
a67714e4-f53a-46c0-b89e-1f5761d316a2;LAGHIM 2 TRỨNG;;;;;Cái;Không chịu thuế GTGT bán hàng;0.000000;75000.000000;1;;;KHAI VỊ;Dịch vụ
3c21c413-d2d3-4304-b4db-3c23bbea4471;LAGIM 2 TRỨNG;;;;;Phần;;0.000000;75000.000000;1;;;KHAI VỊ;Dịch vụ
ce354b53-9bbd-4f46-bc85-153c9dcf6bbf;LẨU BỒ CÂU KHỔ QUA;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;270000.000000;1;;;Lẩu;Dịch vụ
79f74174-355b-4da6-abd8-3d734cf4545b;LẨU CUA ĐỒNG;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;230000.000000;1;;;Lẩu;Dịch vụ
53f22a69-4630-4a39-a35d-6e2595cc800c;LƯƠN CHIÊN GIÒN MẮM ME;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;160000.000000;1;;;Lươn;Dịch vụ
785bc54a-2f83-4d26-8174-a18af79c0dfc;LƯƠN UM CHUỐI;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;200000.000000;1;;;Lươn;Dịch vụ
2c5e84bd-7a97-471d-9f71-f65a83bc2fbc;MỰC CƠM NƯỚNG MUỐI ỚT;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;160000.000000;1;;;Mực;Dịch vụ
be6e7144-71d8-4539-8354-c6f52d137f79;NƯỚC NGỌT;;;;;Lon;Không chịu thuế GTGT bán hàng;0.000000;16000.000000;1;;;BIA RƯỢU;Lưu kho
d31e524a-6d63-4007-8bda-60afa9629d94;NƯỚC SUỐI;;;;;Chai;Không chịu thuế GTGT bán hàng;0.000000;10000.000000;1;;;KHAI VỊ;Lưu kho
ffb3e34e-a8d0-428c-a364-f792c201f5dd;SÀI GÒN TRẮNG;;;;;Lon;Không chịu thuế GTGT bán hàng;0.000000;16000.000000;1;;;BIA RƯỢU;Lưu kho
b83fd017-46d4-4f12-840d-3c340cd93ac1;TIGER BẠC LON;;;;;Lon;Không chịu thuế GTGT bán hàng;0.000000;23000.000000;1;;;BIA RƯỢU;Lưu kho
335fd12d-8a40-4124-8bd0-c824f33db7ac;TIGER BẠC LON 250ML;;;;;Lon;;0.000000;20000.000000;1;;;BIA RƯỢU;Lưu kho
815e6b1b-3ed2-4375-8fdf-eed1e8e1f48b;TIGER LON 33D;;;;;Lon;;0.000000;23000.000000;1;;;BIA RƯỢU;Lưu kho
b0432f14-71ec-422e-9cb4-d3bf7f32b1ea;TÔM ĐẤT XÀO GIÁ HẸ;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;130000.000000;1;;;KHAI VỊ;Dịch vụ
